TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D35,All,cobweb4v,250,1,0.7102
D36,All,cobweb4v,250,1,0.7096
D37,All,cobweb4v,250,1,0.7142
D38,All,cobweb4v,250,1,0.7128
D39,All,cobweb4v,250,1,0.718
D40,All,cobweb4v,250,1,0.7216
D41,All,cobweb4v,250,1,0.7208
D42,All,cobweb4v,250,1,0.7224
D43,All,cobweb4v,250,1,0.7255
D44,All,cobweb4v,250,1,0.725
D45,All,cobweb4v,250,1,0.7238
D46,All,cobweb4v,250,1,0.7227
D47,All,cobweb4v,250,1,0.7252
D48,All,cobweb4v,250,1,0.7233
D49,All,cobweb4v,250,1,0.7238
D50,All,cobweb4v,250,1,0.7242
D51,All,cobweb4v,250,1,0.7289
D52,All,cobweb4v,250,1,0.7296
D53,All,cobweb4v,250,1,0.7359
D54,All,cobweb4v,250,1,0.7365
D55,All,cobweb4v,250,1,0.7437
D56,All,cobweb4v,250,1,0.7472
D57,All,cobweb4v,250,1,0.7457
D58,All,cobweb4v,250,1,0.747
D59,All,cobweb4v,250,1,0.7484
D60,All,cobweb4v,250,1,0.7478
D61,All,cobweb4v,250,1,0.7503
D62,All,cobweb4v,250,1,0.7522
D63,All,cobweb4v,250,1,0.7528
D64,All,cobweb4v,250,1,0.7507
D65,All,cobweb4v,250,1,0.7546
D66,All,cobweb4v,250,1,0.7532
D67,All,cobweb4v,250,1,0.7523
D68,All,cobweb4v,250,1,0.7579
D69,All,cobweb4v,250,1,0.7601
D70,All,cobweb4v,250,1,0.7624
D71,All,cobweb4v,250,1,0.7638
D72,All,cobweb4v,250,1,0.7655
D73,All,cobweb4v,250,1,0.7699
D74,All,cobweb4v,250,1,0.7715
D75,All,cobweb4v,250,1,0.7791
D76,All,cobweb4v,250,1,0.7802
D77,All,cobweb4v,250,1,0.7805
D78,All,cobweb4v,250,1,0.7831
D79,All,cobweb4v,250,1,0.7825
D80,All,cobweb4v,250,1,0.7814
D81,All,cobweb4v,250,1,0.7799
D82,All,cobweb4v,250,1,0.7792
